Title,Language,Release_Date,Genres,Runtime,Director,Lead_Actors,IMDb_Rating,BMS_Rating,Avg_Rating
Kannalan,Malayalam,,"Drama, Social",,,,8.2,8.4,8.3
The Great Indian Kitchen,Malayalam,15/01/21,"Drama, Family",100,Jeo Baby,"Nimisha Sajayan, Suraj Venjaramoodu",8.1,7.8,7.95
Chila Sankethika Kaaranangalal,Malayalam,,,78,S.S. Jishnu Dev,,8.1,8.7,8.4
Malik,Malayalam,15/07/21,"Crime, Drama, Thriller",162,Mahesh Narayanan,"Fahadh Faasil, Nimisha Sajayan, Joju George, Vinay Forrt",8,8.4,8.2
Nayattu,Malayalam,08/04/21,"Crime, Drama, Thriller",124,Martin Prakkat,"Kunchacko Boban, Joju George, Nimisha Sajayan",8,7.9,7.95
Operation Java,Malayalam,12/02/21,"Crime, Drama, Thriller",146,Tharun Moorthy,"Balu Varghese, Lukman Avaran, Irshad, Binu Pappu, Alexander Prasanth",8,8.2,8.1
Cheraathukal,Malayalam,17/06/21,"Anthology, Romance, Drama",143,Various,"Sajin Cherukayil, Kani Kusruti, Nayana Elsa, Parvathy Arun, Sreejith Vijay",7.9,8.3,8.1
Minnal Murali,Malayalam,24/12/21,"Action, Comedy, Drama, Superhero",158,Basil Joseph,"Tovino Thomas, Guru Somasundaram, Femina George",7.8,8.2,8
Joji,Malayalam,07/04/21,"Crime, Drama, Thriller",113,Dileesh Pothan,"Fahadh Faasil, Baburaj, Unnimaya Prasad",7.8,7.6,7.7
Jan.E.Man,Malayalam,19/11/21,"Comedy, Drama",147,Chidambaram,"Basil Joseph, Balu Varghese, Lal, Arjun Ashokan, Ganapathi, Abhiram Radhakrishnan",7.8,8.4,8.1
Thinkalazhcha Nishchayam,Malayalam,29/10/21,"Comedy, Drama",109,Senna Hegde,"Ajisha Prabhakar, Arjun Ashokan, Anagha Narayanan, Rajesh Madhavan",7.7,8.1,7.9
Madhuram,Malayalam,24/12/21,"Drama, Romance",122,Ahammed Khabeer,"Joju George, Shruti Ramachandran, Arjun Ashokan, Nikhila Vimal",7.6,7.8,7.7
Vellam,Malayalam,22/01/21,Drama,154,Prajesh Sen,"Jayasurya, Samyuktha Menon, Siddique, Sreelakshmi",7.6,7.4,7.5
Sakshi,Malayalam,,"Drama, Social",72,Prathap Joseph,"Ranjith Sajeev, Divya Gopinath",7.6,7.5,7.55
Kuruthi,Malayalam,11/08/21,"Action, Drama, Thriller",122,Manu Warrier,"Prithviraj Sukumaran, Roshan Mathew, Srindaa, Murali Gopy, Naslen",7.5,8,7.75
Kaanekkaane,Malayalam,17/09/21,"Drama, Thriller",120,Manu Ashokan,"Tovino Thomas, Suraj Venjaramoodu, Aishwarya Lekshmi",7.5,8.1,7.8
Kshanam,Malayalam,26/11/21,"Horror, Thriller",144,Suresh Unnithan,"Ajmal Ameer, Sneha Ajith, Bharath Srinivasan",7.5,7.4,7.45
Confessions of a Cuckoo,Malayalam,22/01/21,"Drama, Crime",97,Jay Jithin Prakash,"Durga Krishna, Nehrin Navas, Arjun Nandakumar",7.3,7.2,7.25
Ole Kanda Naal,Malayalam,19/11/21,"Drama, Campus",122,Musthafa Gutz,"Anish Rehman, Aishwarya, Kiran Valoor, Hashim Kudilil",7.3,7.5,7.4
Thirike,Malayalam,26/02/21,"Drama, Family",108,"George Kora, Sam Xavier","Gopi Krishnan, George Kora",7.2,6.8,7
Kaatinarike,Malayalam,,"Drama, Family",136,Yedhu Radhakrishnan,"Kiran Raj, Meera Nair, Master Devadath",7.2,7.6,7.4
Kurup,Malayalam,12/11/21,"Biography, Crime, Thriller",140,Srinath Rajendran,"Dulquer Salmaan, Indrajith Sukumaran, Shine Tom Chacko",7,6.6,6.8
Churuli,Malayalam,19/11/21,"Mystery, Sci-Fi, Thriller",120,Lijo Jose Pellissery,"Chemban Vinod Jose, Vinay Forrt, Joju George",7,6.6,6.8
Aarkkariyam,Malayalam,01/04/21,"Drama, Mystery",126,Sanu John Varughese,"Biju Menon, Parvathy Thiruvothu, Sharafudheen",6.9,7.3,7.1
Vasanthi,Malayalam,,"Drama, Feminist Cinema",,"Rahman brothers (Rahman, Shinos)",Swasika Vijay,6.9,6.6,6.75
Attention Please,Malayalam,26/11/21,"Drama, Thriller",118,Jithin Issac Thomas,"Vishnu Govindan, Anand Manmadhan, Jobin Paul",6.8,7,6.9
Joyful Mystery,Malayalam,10/12/21,Drama,85,Jijo Joseph,"Joseph K. Joseph, Meera K. Joseph",6.8,6.3,6.55
Kala,Malayalam,25/03/21,"Action, Drama, Psychological",130,Rohith V. S.,"Tovino Thomas, Lal, Divya Pillai",6.7,6.9,6.8
Ajagajantharam,Malayalam,23/12/21,"Action, Drama",122,Tinu Pappachan,"Antony Varghese, Arjun Ashokan, Sabumon Abdusamad",6.7,6.6,6.65
Insha,Malayalam,,Drama,,Anwar Kabeer,"Hemanth Menon, Meera Vasudevan",6.7,7.1,6.9
Changayi,Malayalam,,Drama,122,Sudhesh Kumar,"Amal Shah, Govind V. Pai",6.7,6.5,6.6
Sunny,Malayalam,23/09/21,Drama,93,Ranjith Sankar,Jayasurya,6.6,6.5,6.55
Sara's,Malayalam,05/07/21,"Comedy, Drama, Romance",119,Jude Anthany Joseph,"Anna Ben, Sunny Wayne",6.5,6.9,6.7
Meow,Malayalam,24/12/21,Drama,145,Lal Jose,"Soubin Shahir, Mamta Mohandas",6.5,6.2,6.35
Deira Diaries,Malayalam,01/12/21,Drama,128,Mushtaque Rahman Kariyaden,"Abu Valayamkulam, Shobha Mohan",6.5,6.6,6.55
Puzhayamma,Malayalam,,"Drama, Environmental",,Vijeesh Mani,"Linda Arsenio, Baby Meenakshi",6.5,6.2,6.35
Paka (River of Blood),Malayalam,23/12/21,Drama,101,Nithin Lukose,"Basil Paulose, Vinitha Koshy, Jose Kizhakkan",6.4,7,6.7
Enpathukalile Ebhyamar,Malayalam,17/09/21,Drama,113,Ajith V Thomas,"Arun S. Gopan, Sona Mukundan",6.4,6.8,6.6
Kaadakalam,Malayalam,12/11/21,"Drama, Family",86,Bipin Ragu,"Manu Krishna, Sajitha Madathil",6.4,6.9,6.65
Kanakam Moolam,Malayalam,15/10/21,"Drama, Social",100,Haris Mannancheril,"Neena Kurup, Rajeev Rajan, Sarika, Deepu, Krishnapriya",6.4,6.3,6.35
Yuvam,Malayalam,12/02/21,"Drama, Thriller",113,Pinku Peter,"Amith Chakalakkal, Dayyana Hameed, Abhishek Raveendran",6.2,5.9,6.05
Cold Case,Malayalam,30/06/21,"Crime, Horror, Thriller",139,Tanu Balak,"Prithviraj Sukumaran, Aditi Balan",6.1,6.3,6.2
Ellam Sheriyakum,Malayalam,19/11/21,"Comedy, Drama, Political",138,Jibu Jacob,"Asif Ali, Rajisha Vijayan, Siddique",6.1,6,6.05
Koora,Malayalam,,"Romance, Thriller, Mystery",,Manu Ashokan,"Nidheesh Nair, Diana Hameed",6.1,6,6.05
Muddy,Malayalam,10/12/21,"Action, Thriller, Adventure",137,Dr. Pragabhal,"Yuvan Krishna, Ridhaan Krishna, Anusha Suresh",6.1,5.7,5.9
The Priest,Malayalam,04/03/21,"Horror, Mystery, Thriller",140,Jofin T. Chacko,"Mammootty, Manju Warrier, Nikhila Vimal",6,5.8,5.9
Guardian,Malayalam,01/01/21,Thriller,129,Prof. Satheesh Paul,"Saiju Kurup, Nayana Elsa",6,6,6
RJ Madonna,Malayalam,19/11/21,"Drama, Romance",91,Hashim Marikar,"Amalendu K. Raj, Sana Althaf",6,5.6,5.8
Ameera,Malayalam,19/11/21,Drama,91,Anish Varma,"Meenakshi Dinesh, Irshad Ali",6,5.5,5.75
Puli Vachindi Meka Chachindi,Telugu,17/12/21,"Crime, Thriller",97,Raju Ramachandrapu,"Gopi, Sujith Raj, Aruna Kumari",9.6,10,9.8
Virinchi,Telugu,,"Sci-Fi, Drama",,G.L.B. Srinivas,"G.L.B. Srinivas, Naveena, Gautham Raju",9.5,9.3,9.4
Nee Jathaga,Telugu,26/09/21,"Drama, Romance",113,Karthik Vignesh,"Durga, Mahesh Vitta, Deepthi Sunaina",9.2,9.8,9.5
Cycle,Telugu,,"Comedy, Romance, Drama",127,Aatla Arjun Reddy,"Punarnavi Bhupalam, Shoban, Mahati Bhikshu",9.1,9.2,9.15
Manavoori Pandavulu,Telugu,,"Action, Drama",120,Sreenu Gattu,"Raghu Babu, Jogi Brothers",9.1,8.7,8.9
Abhi's Kshana Kshanam,Telugu,,Drama,,Abhiram,"Adhire Abhi, Premsundeep",8.9,9.1,9
Boys,Telugu,,"Comedy, Romance",,Vinay Kambhampati,"Harish Thummala, Preethi Sharma",8.8,8.8,8.8
1997,Telugu,,"Action, Drama",137,Dr. Mohan Babu,"Dr. Mohan, Advaitha",8.7,8.1,8.4
Ieandavi,Telugu,,"Horror, Thriller",117,Prasad Ramaraju,"Shobha Rani, Ravi Teja, Shivani",8.7,8.2,8.45
Cheruvaina Dooramaina,Telugu,20/08/21,"Action, Drama, Romance",111,Ramu G. Naidu,"Sai Ramesh, Shruthi Reddy",8.6,8.8,8.7
Vikram,Telugu,,"Drama, Thriller",,Siva Prasad Yanala,"Vikram Aditya, Veena",8.6,8.4,8.5
Annapurnamma gari Manavadu,Telugu,,"Drama, Family",,Narra Siva Nageswara Rao,"Archana Shastry, Kathi Mahesh",8.6,9,8.8
Telangana Devudu,Telugu,04/03/21,"Biography, Political",177,Harish Vadtya,"Srikanth, Ram Karthik, Suresh Kondeti",8.6,8.2,8.4
Mr Lonely,Telugu,26/11/21,"Drama, Romance",108,Jaya Bhaskar,"Sridhar Rao, Yamini Bhaskar",8.4,8.7,8.55
Brandy Diaries,Telugu,24/12/21,"Drama, Addiction",144,Shridhar Panchalam,"Srikanth, Vaibhavi Joshi",8.4,8.7,8.55
Itlu Amma,Telugu,19/11/21,"Drama, Crime",112,Padmaja Thota,Revathi,8.3,8,8.15
Chitram X,Telugu,,"Thriller, Sci-Fi",136,G. Siva Prasad,"Vikram, Madhu Shalini",8.2,8.1,8.15
Drushyam 2,Telugu,25/11/21,"Crime, Drama, Thriller",155,Jeethu Joseph,"Venkatesh Daggubati, Meena, Esther Anil",8.1,7.9,8
Raani,Telugu,,"Drama, Social",93,Raj Kishore,Priya Hegde,8.1,7.9,8
Maa Oori Polimera,Telugu,10/11/21,"Horror, Thriller",138,Anil Vishwanath,"Kamakshi Bhaskarla, Satyam Rajesh",8.1,7.7,7.9
Sita on the Road,Telugu,05/03/21,"Drama, Road Movie",115,Praneeth Yaron,"Kalpika Ganesh, Khatera Hakimi, Gayatri Gupta",8.1,8.2,8.15
Bhagat Singh Nagar,Telugu,02/04/21,"Romance, Thriller",134,Vicky - Vasu,"Chethan Cheenu, Ishwarya Vullingala",8.1,8.4,8.25
Itlu Anjali,Telugu,,"Crime, Thriller",,R. Raju,"Ananya Sharma, Raja Ravindra",8.1,8.6,8.35
Chai Kahani,Telugu,12/02/21,"Romance, Drama, Short",54,Rajesh Harivansh,"Rakesh, Meghana",8.1,7.7,7.9
In Nisha Apartments,Telugu,,"Thriller, Crime",105,Mujeer Pasha,"Asif Taj, Mahendra, Surya",8.1,8.2,8.15
Missing: Search vs Revenge,Telugu,19/11/21,"Thriller, Drama",133,Srini Josyula,"Harsha Narra, Nikkesha, Misha Narang",8,7.8,7.9
O Ammayi Crime Story,Telugu,16/07/21,"Crime, Mystery, Drama",129,Rajesh Harivansh,"Keerthi Chawla, Bharath Bandaru",8,7.5,7.75
Dhamki,Telugu,,"Thriller, Drama",,Sai Krishna,"Kavya Raj, Arjun Singh",7.9,7.4,7.65
Raave Naa Cheliya,Telugu,,"Romance, Drama",125,Satya Narayana,"Revanth, Anju Asrani",7.9,7.5,7.7
Devineni,Telugu,31/12/21,"Biography, Political",122,Narra Siva Nageswara Rao,"Nandamuri Tharak, Ram Gopal",7.9,8.1,8
Cinemabandi,Telugu,14/05/21,"Drama, Comedy",98,Praveen Kandregula,"Vikas Vasistha, Sandeep Varanasi",7.8,7.7,7.75
Republic,Telugu,01/10/21,"Political, Drama",152,Deva Katta,"Sai Dharam Tej, Aishwarya Rajesh",7.8,8.3,8.05
Naandhi,Telugu,19/02/21,"Crime, Drama, Thriller",146,Vijay Kanakamedala,"Allari Naresh, Varalaxmi Sarathkumar",7.8,7.4,7.6
Street Light,Telugu,14/02/21,"Drama, Mystery, Thriller",132,V.K. Vijayendra Prasad,Tanya S. Desai,7.8,7.7,7.75
Eda Thanunnado,Telugu,23/04/21,"Romance, Drama",107,P. Mahesh,"Karthik Raju, Punarnavi Bhupalam",7.8,7.6,7.7
Theeram,Telugu,01/09/21,"Romance, Drama",144,Raj Madiraju,Naga Shaurya,7.7,8,7.85
Thamasoma Jyothirgamaya,Telugu,30/08/21,Drama,93,Sree Vishnu,Gagan Vihari,7.7,7.3,7.5
Pushpa: The Rise – Part 1,Telugu,17/12/21,"Action, Crime, Thriller",179,Sukumar,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna",7.6,7.7,7.65
Shyam Singha Roy,Telugu,24/12/21,"Drama, Romance, Mystery",155,Rahul Sankrityan,"Nani, Sai Pallavi",7.6,7.5,7.55
Narappa,Telugu,20/07/21,"Drama, Action",153,Srikanth Addala,"Venkatesh Daggubati, Priyamani",7.6,7.7,7.65
Ardha Shathabdham,Telugu,11/06/21,"Action, Drama, Social Drama",130,Rawindra Pulle,"Karthik Rathnam, Naveen Chandra, Krishna Priya",7.6,7.3,7.45
Play Back,Telugu,05/03/21,"Thriller, Sci-Fi",138,Hari Prasad Jakka,"Dinesh Tej, Ananya Nagalla",7.6,7.6,7.6
The Trip,Telugu,,Drama,94,,,7.6,7.4,7.5
Alanti Sitralu,Telugu,17/09/21,Drama,141,Supreeth C Krishna,"Shwetta Parashar, Ajay Kathurvar",7.6,7.3,7.45
Prince the Fighter,Telugu,,"Action, Drama",121,,,7.6,7.6,7.6
GST (God Saithan Tech),Telugu,,"Drama, Philosophical Fiction",139,,,7.6,7.5,7.55
Shatagni – The Movie,Telugu,,"Crime, Drama",,Harsha Prawin,"Harsha Prawin, Rafi, RK Kranthi",7.6,7.4,7.5
Aranya,Telugu,26/03/21,"Adventure, Drama",153,Prabhu Solomon,"Rana Daggubati, Vishnu Vishal, Shriya Pilgaonkar",7.5,7.8,7.65
Raja Raja Chora,Telugu,19/08/21,"Comedy, Drama, Romance",145,Hasith Goli,"Sree Vishnu, Megha Akash, Sunaina",7.5,7.6,7.55
Nenu Leni Naa Premakatha,Telugu,08/10/21,"Romance, Drama",123,Suresh Utharadi,"Naveen Chandra, Gayathri R. Suresh",7.5,7.9,7.7
Doctor,Telugu,09/10/21,"Action, Thriller",148,Nelson Dilipkumar,"Sivakarthikeyan, Priyanka Arul Mohan",7.4,6.8,7.1
Jathi Ratnalu,Telugu,11/03/21,Comedy,145,Anudeep K.V,"Naveen Polishetty, Rahul Ramakrishna, Priyadarshi",7.4,6.9,7.15
Adbhutham,Telugu,19/11/21,"Sci-Fi, Romance",141,Mallik Ram,"Teja Sajja, Shivani Rajasekhar",7.4,7.4,7.4
Senapathi,Telugu,31/12/21,"Crime, Drama",150,Pavan Sadineni,"Rajendra Prasad, Naresh Agastya",7.4,7.4,7.4
Chalo Premiddam,Telugu,19/11/21,"Romance, Drama",150,Suresh Sekhar Gangula,"Sai Ronak, Neha Deshpande",7.4,7.3,7.35
Nirbandham 2,Telugu,,"Action, Political Drama",,,,7.4,7.6,7.5
Katari Krishna,Telugu,,Drama,,,,7.4,7.1,7.25
Kadhanika,Telugu,,Horror,128,,,7.4,7.8,7.6
Sreekaram,Telugu,11/03/21,"Drama, Inspirational",122,Kishore B,"Sharwanand, Priyanka Arul Mohan",7.3,7.3,7.3
Maa Oori Polimera,Telugu,10/11/21,"Horror, Thriller",98,Anil Vishwanath,"Satyam Rajesh, Kamakshi Bhaskarla",7.2,6.8,7
One Small Story,Telugu,,"Drama, Comedy",134,Raju Rajendra Prasad,"Santhosh Sobhan, Kavya Thapar, Brahmaji",7.2,6.7,6.95
Ms. Preethi,Telugu,,Drama,89,Harikumar Devarapalli,"Preethi Asrani, Naveen Neni",7.2,7.1,7.15
Mail,Telugu,12/01/21,"Drama, Comedy",116,Uday Gurrala,"Harshith Malgireddy, Priyadarshi Pulikonda",7.2,6.9,7.05
Back Door,Telugu,,"Romance, Drama",100,Karri Balaji,"Teja Tripurana, Poorna",7.2,7.2,7.2
Climax,Telugu,04/06/21,Thriller,80,Bhavani Shankar K,"Sasha Singh, Sri Reddy",7.2,7.5,7.35
Bro,Telugu,,Drama,140,Karthik Thupurani,"Naveen Chandra, Avika Gor",7.1,7,7.05
Thimmarusu: Assignment Vali,Telugu,30/07/21,"Thriller, Legal Drama",127,Sharan Koppisetty,"Satyadev Kancharana, Priyanka Jawalkar",7.1,6.9,7
Dear Megha,Telugu,03/09/21,"Romance, Drama",121,A. Sushanth Reddy,"Megha Akash, Arjun Somayajula",7.1,7.4,7.25
Mission 2020,Telugu,,"Thriller, Crime",140,Sriman Keerthi,"Naveen Chandra, Pradeep Rawat",7.1,7.7,7.4
Madhura Wines,Telugu,22/10/21,Drama,127,Jayakishore B,"Sunny Naveen, Seema Chowdhary",7.1,7.5,7.3
Narasimhapuram,Telugu,30/07/21,"Action, Crime, Drama",115,Sriraj Balla,"Nanda Kishore, Siri Hanumanthu",7.1,7.4,7.25
Deyyam,Telugu,16/04/21,"Horror, Thriller",98,Ram Gopal Varma,"Rajasekhar, Swati Dixit",7,6.7,6.85
Priyuraalu,Telugu,17/09/21,"Romance, Drama",114,G.V.S.R. Krishna,"Preeti Asrani, Prudhvi Medavaram",7,7.3,7.15
Gem,Telugu,,"Action, Thriller",124,Susheela Subrahmanyam,"Vijay Raja, Nakshatra",7,6.7,6.85
Mr. X,Telugu,,"Crime, Thriller",,Manu Kiran,"Lohit Kumar, Pavani Reddy",7,6.9,6.95
Avalambika,Telugu,,"Fantasy, Horror",125,Nagaraj Bodem,"Anusha, Charan Surya",7,6.9,6.95
Blocked,Telugu,,"Horror, Thriller",131,K.S. Ramu,"Yashwanth, Sruthi Reddy",7,7.2,7.1
Vakeel Saab,Telugu,09/04/21,"Drama, Legal, Thriller",153,Venu Sriram,"Pawan Kalyan, Nivetha Thomas",6.9,6.8,6.85
Krack,Telugu,09/01/21,"Action, Crime, Drama",154,Gopichand Malineni,"Ravi Teja, Shruti Haasan",6.9,6.4,6.65
Clue: A Love Thriller,Telugu,,"Thriller, Romance",123,Swamy Kumar,"Prabhas Seenu, Pavithra Lokesh",6.9,7.3,7.1
Eakam,Telugu,19/11/21,"Anthology, Drama",125,Sampath Kumar,"Abhiram, Shyam, Dayanand Reddy",6.9,6.5,6.7
Shaadi Mubarak,Telugu,05/03/21,"Romance, Comedy",136,Padmasri,"Sagar RK Naidu, Drishya Raghunath",6.9,7.5,7.2
Super Over,Telugu,22/01/21,"Thriller, Crime",83,Praveen Varma,"Naveen Chandra, Chandini Chowdary",6.9,6.7,6.8
Aakashavaani,Telugu,24/09/21,"Drama, Fantasy",124,Ashwin Gangaraju,"Samuthirakani, Vinay Varma, Teja Kakumanu",6.9,6.8,6.85
Prayanikudu,Telugu,,"Action, Drama",,Krishna Chaitanya,"Krishna Chaitanya, Pavani",6.9,6.9,6.9
Love Story,Telugu,24/09/21,"Romance, Drama",155,Sekhar Kammula,"Naga Chaitanya, Sai Pallavi",6.8,7.1,6.95
Akhanda,Telugu,02/12/21,"Action, Fantasy, Drama",167,Boyapati Srinu,"Nandamuri Balakrishna, Pragya Jaiswal",6.8,7,6.9
A (Ad Infinitum),Telugu,05/03/21,"Thriller, Mystery",153,Ugandhar Muni,"Nithin Prasanna, Preethi Asrani",6.8,6.9,6.85
Point Blank,Telugu,,"Crime, Thriller",107,Kiran Kondamadugula,"Manoj Nandam, Anusha Nuthula",6.8,6.9,6.85
Bomma Adirindi Dhimma Tirigindi,Telugu,29/10/21,"Horror, Comedy",109,Sai Rajesh,"Avantika, Shakalaka Shankar",6.8,7,6.9
Wild World,Telugu,01/12/21,"Thriller, Drama",66,Pradeep Maddali,"Ravi Varma, Aparna Allamsetty",6.8,6.5,6.65
Skylab,Telugu,04/12/21,"Period Drama, Comedy",148,Vishvak Khanderao,"Nithya Menen, Rahul Ramakrishna, Satyadev Kancharana",6.7,6.1,6.4
Gramam,Telugu,,"Mystery, Horror",87,Veerendra Madanu,,6.7,6.4,6.55
Arakulo Virago,Telugu,,"Thriller, Revenge",,Srilatha K,"Preethi Malinga, Vamshi Raj",6.7,6.6,6.65
Zombie Reddy,Telugu,05/02/21,"Action, Comedy, Horror",130,Prasanth Varma,"Teja Sajja, Anandhi",6.6,6.1,6.35
Maestro,Telugu,17/09/21,"Crime, Thriller",135,Merlapaka Gandhi,"Nithiin, Tamannaah Bhatia, Nabha Natesh",6.6,7.2,6.9
Thellavarithe Guruvaram,Telugu,27/03/21,"Romance, Drama",120,Manikanth Gelli,"Sri Simha Koduri, Misha Narang",6.6,7,6.8
The Killer,Telugu,,"Thriller, Crime",154,Venu M K,"Dileep, Pooja Gowda",6.6,7.1,6.85
Poster,Telugu,25/03/21,"Drama, Motivation",143,T. Mahipal Reddy,"Vijay Dharan Datla, Rashi Singh",6.6,7,6.8
Chaitanyam,Telugu,,"Drama, Social",132,Srinivas Shankar,Rishi Kandukuri,6.6,6.1,6.35
I Am Meera,Telugu,,"Thriller, Drama",77,,,6.6,6.2,6.4
Ksheera Sagara Madhanam,Telugu,,Drama,145,Anil Panguluri,"Sanjay Rao, Virti Vaghani",6.6,6.1,6.35
Uppena,Telugu,12/02/21,"Romantic Drama, Action",147,Buchi Babu Sana,"Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi",6.5,6.4,6.45
Red,Telugu,14/01/21,"Crime, Thriller",146,Kishore Tirumala,Ram Pothineni,6.5,6.6,6.55
Natyam,Telugu,22/10/21,"Dance, Drama",136,Revanth Korukonda,Sandhya Raju,6.5,7,6.75
Valasa,Telugu,,"Road Film, Drama",110,G Venu Gopal,Manoj Nandam,6.5,5.9,6.2
Gaali Sampath,Telugu,11/03/21,"Comedy, Drama",130,Anish Krishna,"Sree Vishnu, Rajendra Prasad, Satya",6.5,6.3,6.4
April 28 Em Jarigindi,Telugu,23/04/21,"Horror, Thriller",113,Veera Swamy,Rajiv Kanakala,6.5,6.7,6.6
Cauliflower,Telugu,,Comedy,,RK Malineni,Sampoornesh Babu,6.5,6.4,6.45
Jathiya Rahadari,Telugu,,Drama,103,Kiran Reddy Mandadi,"Shivanarayana, Praveen Yandamuri",6.5,6.1,6.3
Journalist,Telugu,,"Thriller, Drama",108,,,6.5,6.2,6.35
Check,Telugu,26/02/21,"Crime, Thriller",140,Chandra Sekhar Yeleti,"Nithiin, Rakul Preet Singh, Priya Prakash Varrier",6.4,6.9,6.65
Varudu Kaavalenu,Telugu,29/10/21,"Romance, Drama",135,Lakshmi Sowjanya,"Naga Shaurya, Ritu Varma",6.4,6.4,6.4
Nootokka Zillala Andagaadu,Telugu,03/09/21,"Comedy, Drama",125,Rachakonda Vidyasagar,"Srinivas Avasarala, Ruhani Sharma",6.4,5.9,6.15
Nayeem Diaries,Telugu,,"Action, Crime, Drama",140,Venkatesh Rao,,6.4,5.9,6.15
Corporator,Telugu,,"Political, Drama",142,,,6.4,6,6.2
Rang De,Telugu,26/03/21,"Romance, Comedy",130,Venky Atluri,"Nithiin, Keerthy Suresh",6.3,5.8,6.05
Honey Trap,Telugu,,"Romance, Thriller",111,,,6.3,6.1,6.2
Pushpaka Vimanam,Telugu,12/11/21,"Comedy, Drama",142,Damodara,"Anand Deverakonda, Geeth Saini, Saanve Megghana",6.3,6.4,6.35
Merise Merise,Telugu,20/08/21,"Romance, Drama",122,Pawan Kumar K,"Shweta Avasthi, Dinesh Tej",6.3,6,6.15
Ee Kathalo Paathralu Kalpitam,Telugu,01/10/21,"Crime, Drama",119,Abhiram M,"Pavan Tej Konidela, Meghana",6.3,6.5,6.4
Vivaha Bhojanambu,Telugu,27/08/21,"Comedy, Drama",120,Ram Abbaraju,"Satya, Aarjavee, Srikanth Iyengar",6.3,6.7,6.5
Guduputani,Telugu,25/12/21,"Thriller, Drama",111,K.M. Kumar,"Sapthagiri, Neha Solanki",6.3,6.3,6.3
Most Eligible Bachelor,Telugu,15/10/21,"Romance, Comedy",170,Bommarillu Baskar,"Akhil Akkineni, Pooja Hegde",6.2,6.8,6.5
A1 Express,Telugu,05/03/21,"Sports, Drama",138,Dennis Jeevan Kanukolanu,"Sundeep Kishan, Lavanya Tripathi",6.2,5.8,6
Lawyer Viswanath,Telugu,20/08/21,Legal Drama,132,B. Jaya Kumar,"Meghasri, Ali, Mouryaani",6.2,6.4,6.3
Kapatadhaari,Telugu,19/02/21,"Crime, Thriller",136,Pradeep Krishnamoorthy,"Sumanth, Nandhita Swetha",6.2,6.7,6.45
Mugguru Monagallu,Telugu,06/08/21,"Comedy, Crime",120,Abhilash Reddy Kankara,"Srinivasa Reddy, Dheekshith Shetty, Vennela Ramarao",6.2,6,6.1
Savitri W/o Satyamurthy,Telugu,01/12/21,"Family, Drama",,Chaitanya Konda,"Roshni Sahota, Parameshwar Hivrale",6.2,6,6.1
Atma Vasikaranam,Telugu,20/11/21,"Horror, Thriller",113,Gollapati Nageswara Rao,,6.2,6.4,6.3
Wild Dog,Telugu,02/04/21,"Action, Thriller",145,Ahishor Solomon,"Nagarjuna Akkineni, Dia Mirza",6.1,5.8,5.95
Plan B,Telugu,07/05/21,"Thriller, Mystery",121,Viplove Koneti,"Srinivas Reddy, Murali Sharma",6.1,6.5,6.3
Sridevi Soda Center,Telugu,27/08/21,"Action, Romance",154,Karuna Kumar,"Sudheer Babu, Anandhi",6.1,5.6,5.85
Father Chitti Umaa Kaarthik,Telugu,29/10/21,"Drama, Family",166,Vidyasagar Raju,"Brahmanandam, Amit Sharma",6.1,6.1,6.1
RGV Missing,Telugu,12/03/21,"Satire, Thriller",,Sripuram Kiran,,6.1,6.6,6.35
Vittalwadi,Telugu,10/12/21,"Romance, Drama",139,Rajani Rajababu,"Srikanth Reddy, Sravani Nikitha",6,6.6,6.3
Balamitra,Telugu,20/11/21,"Thriller, Action",104,Satya Rachakonda,"Yug Ram, Sanjana Choudhary",6,5.7,5.85
Love 2 Love,Telugu,24/12/21,"Romance, Drama",,Sreeram Mandalapu,"Rohit Reddy, Sree Priya",6,5.6,5.8
Akshi,Kannada,03/12/21,"Drama, Social",127,Manoj Kumar,"Govinde Gowda, Ilaa Vitla",9.8,10,9.9
Nan Hesaru Kishora Yel Pass Yentu,Kannada,19/11/21,"Family, Drama",127,Bharathi Shankar,"Dattanna, Tabla Nani, Pavan Teja",9,8.5,8.75
Groufie,Kannada,20/08/21,"Drama, Mystery",112,Ravi Arjun D,"Aryan SG, Padmashree C Jain",9,8.6,8.8
Nimmuru,Kannada,12/02/21,"Action, Drama",159,Vijay S,"Lucky Raam, Rajashekhar Davanagere",9,9.2,9.1
Sri Jagannatha Daasaru,Kannada,10/12/21,"Historical, Biopic",130,Madhusudhan Havaldar,"Sharath Joshi, Trivikram Joshi",8.9,8.4,8.65
Kartha,Kannada,26/02/21,Drama,155,Durga P.S.,"Vinod Patil, Deepthi Manne",8.7,8.9,8.8
Idu Akashavani Bengaluru Nilaya,Kannada,08/10/21,"Horror, Thriller",,M. Harikrishna,"Nikitha Swamy, Ranveer Patil, Suchendra Prasad",8.7,9,8.85
Mahishasura,Kannada,08/01/21,"Action, Crime, Drama",116,Uday Prasanna,"Arjun Rao, Bindhu Shree, Raj Manju",8.7,8.7,8.7
Salt,Kannada,26/02/21,"Comedy, Crime",130,Chandu Chatrapati,"Bharath Nanda, Shalini M, Yelsten",8.6,9.1,8.85
